run_name,split,shape_class,source_csv,mean_norm_l2,diag_mae,offdiag_mean_abs_corr,eig_ratio,kl_moment_to_std_normal,w2_moment_to_std_normal,eig_log_abs,n01_abs_gap,z_kl,z_w2,z_diag,z_eig_log_abs,n01_robust_gap,n01_similarity
lsv_stage3_vae_base_ld32_fmtA_b0p1_lmax8_s42,ood_event,close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage3_ld32_formats_v1/latent_shape_summary.csv,0.31529738093198223,0.037160324844514425,0.022858957763138225,2.102760896828151,0.20126596980210487,0.2636321241123358,0.7432511940265807,0.6692910548433431,-0.0632060328018094,-0.3607941198441502,0.3012507590075302,0.20198588434381712,-0.22287830205624026,0.5554900609468634
lsv_stage2_vae_base_ld64_b0p1_s50_logvfixv2,ood_event,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.44628772950903306,0.018544342379972933,0.008570314727204988,1.9643692353326854,0.22444778926400316,0.3360186308104969,0.6751711939590564,0.7385313897542506,0.1151339637713598,0.02471239492549243,-0.6257751984025562,0.0,-0.17304124050442588,0.5431526861106291
lsv_stage2_vae_base_ld64_b0p1_s45_logvfixv2,ood_event,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.4869001777886156,0.04445966719667667,0.0052613075649741775,1.6461746020211234,0.20816621988425288,0.3313162435335001,0.4984541731912008,0.6863258403138914,-0.010121736376031061,-0.0003309593257522198,0.6647384151312898,-0.5242999953436702,0.1908415130279441,0.4524338992189798
lsv_stage2_vae_base_ld64_b0p1_s43_logvfixv1,ood_event,close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage2_beta0p1_logvarfix_compare_v1/latent_shape_summary.csv,0.4212755190113786,0.07144843402362977,0.0016392043585793422,1.3116708825327854,0.19602239669566401,0.2829570237291654,0.2713018073252799,0.5825290892679642,-0.10354535178282476,-0.25787611703705443,2.0087065594249838,-1.1982361212941888,0.34337278056906556,0.4149904216921739
lsv_stage2_vae_base_ld64_b0p1_s46_logvfixv2,ood_event,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.5619833924121276,0.01748876661295442,0.008288040152337634,1.8775778871333697,0.25579295408756353,0.42053001049587374,0.6299825882875031,0.8425629949617902,0.356275371865193,0.4747919598468269,-0.6783400382063698,-0.13406963087220602,0.45837990489078345,0.3873702257502118
lsv_stage2_vae_base_ld64_b0p1_s44_logvfixv2,ood_event,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.40915804692233926,0.02683676555809847,0.013004933847611365,2.375431177704109,0.25621525227392206,0.35643593047059763,0.865178969515662,0.8423643079024845,0.3595241529728114,0.13344815787360007,-0.21283478278959214,0.5637322053457241,0.5274879707880464,0.37110296928833747
lsv_stage3_vae_base_ld32_fmtA_b0p1_lmax8_s44,ood_event,close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage3_ld32_formats_v1/latent_shape_summary.csv,0.5004363026358786,0.04465550796021644,0.02972885579582689,2.3880506441873557,0.350550718465144,0.5052054007892807,0.8704774030891236,1.0957032240068139,1.085256088937651,0.9257449908431381,0.6744907594765953,0.5794520759378384,2.4931094785035466,0.0763426451478326
lsv_stage2_vae_base_ld64_b0p1_s47_logvfixv2,ood_event,very_close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.28649304635355677,0.029016903840398324,0.0199959958577553,2.9980497596307396,0.4008829668473723,0.4980107368995343,1.0979619971513195,1.1878926549549356,1.472466981454517,0.8874285983607587,-0.10426974829383243,1.254373886464767,2.6213541772845512,0.06777668249279072
lsv_stage3_vae_base_ld32_fmtB_b0p1_lmax6_s42,ood_event,close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage3_ld32_formats_v1/latent_shape_summary.csv,0.34837384158123974,0.04963025102637571,0.03308355285858491,2.8510897553524415,0.3960903728868993,0.5087844508430532,1.0477012914947683,1.1916152721168325,1.4355970889988299,0.9448058237987782,0.9222196108847647,1.1052558919037552,3.11782669121593,0.0423778813872288
lsv_stage2_vae_base_ld64_b0p1_s51_logvfixv2,ood_event,close,ML/autoencoder/experiments/LatentShapeVAE/results/latent_shape_ood_event_stage2_beta0p1_logvarfix_10seeds_v2/latent_shape_summary.csv,0.5472129199702428,0.028022821154646337,0.019758242857500344,3.2600429539516105,0.6008781899940002,0.8313271944110507,1.181740371350589,1.7416518878200216,3.0110497259730167,2.6625614471723824,-0.1537723977113056,1.5029351230209183,5.972458755044976,0.002541493233829816
